"Time","Milkshake","Hamburger"
"2024-02-01",29,92
"2024-03-01",31,89
"2024-04-01",29,88
"2024-05-01",27,95
"2024-06-01",29,96
"2024-07-01",30,100
"2024-08-01",29,94
"2024-09-01",27,93
"2024-10-01",26,87
"2024-11-01",23,75
"2024-12-01",24,79
"2025-01-01",30,82
"2025-02-01",32,92
"2025-03-01",35,90
