"Time","Milkshake","Hamburger"
"2024-02-01",35,85
"2024-03-01",37,77
"2024-04-01",31,86
"2024-05-01",30,100
"2024-06-01",31,98
"2024-07-01",29,98
"2024-08-01",31,88
"2024-09-01",25,82
"2024-10-01",24,74
"2024-11-01",25,71
"2024-12-01",25,66
"2025-01-01",31,79
"2025-02-01",36,77
"2025-03-01",40,83
